00000001	
00000000	00000000000000000000000000000000
00000001	00000000010000000000000000000010
00000002	00000000011000000000000000000011
00000003	00000000101000000000000000000101
00000004	00000000111000000000000000000111
00000005	00000001001000000000000000001001
00000006	00000001011000000000000000001011
00000007	00100000001000100001100000000000
00000008	00100100100001010000100000000000
00000009	01000000110000010011100000000000
0000000A	01000101000000010100100000000000
0000000B	01000001010000010101100000000000
0000000C	00000100000000000011000000100000
0000000D	00000100000000000100000000100001
0000000E	00000100000000000101000000100010
0000000F	11111100000000000000000000000000
