00000000	00000000000000000000000000000000
00000001	00000000000000000000000000000001
00000002	00000000000000000000000000000010
00000003	00000000000000000000000000000011
00000004	00000000000000000000000000000100
00000005	00000000000000000000000000000101
00000006	00000000000000000000000000000110
00000007	00000000000000000000000000000111
00000008	00000000000000000000000000001000
00000009	00000000000000000000000000001001
0000000A	00000000000000000000000000001010
0000000B	00000000000000000000000000001011
