00000000	00000000000000000000000000000000
00000001	00000000000000000000000000000101
00000002	00000000000000000000000100000000
00000003	00000000000000000000001000000000
00000004	00000000000000000000001100000000
00000100	00000000000000000000000000000001
00000101	00000000000000000000000000000010
00000102	00000000000000000000000000000011
00000103	00000000000000000000000000000100
00000104	00000000000000000000000000000101
00000200	00000000000000000000000000000001
00000201	00000000000000000000000000000010
00000202	00000000000000000000000000000011
00000203	00000000000000000000000000000100
00000204	00000000000000000000000000000101
00000300	00000000000000000000000000000010
00000301	00000000000000000000000000000100
00000302	00000000000000000000000000000110
00000303	00000000000000000000000000001000
00000304	00000000000000000000000000001010
