000000A0	00000000000000000000000000010000
000000A1	00000000000000000000000000001111
000000A2	00000000000000000000000000001110
000000A3	00000000000000000000000000001101
000000A4	00000000000000000000000000001100
000000A5	00000000000000000000000000001011
000000A6	00000000000000000000000000001010
000000A7	00000000000000000000000000001001
000000A8	00000000000000000000000000001000
000000A9	00000000000000000000000000000111
000000AA	00000000000000000000000000000110
000000AB	00000000000000000000000000000101
000000AC	00000000000000000000000000000100
000000AD	00000000000000000000000000000011
000000AE	00000000000000000000000000000010
000000AF	00000000000000000000000000000001
000000B0	00000000000000000000000000000000
